Serum,Virus,Study,ID50 (Neutralization Titer)
polyclonal Donor 24,92BR020,Walker2009a,<100
polyclonal Donor 36,92BR020,Walker2011,741.3
polyclonal Donor 39,92BR020,Walker2011,421
polyclonal Donor 84,92BR020,Walker2011,262.2
polyclonal PC64-M35,92BR020,Landais2017_dataset2,<50
polyclonal N152,92BR025_9,Huang2014,7102
polyclonal NIH45,92BR025_9,Wu2010,25
polyclonal Donor 17,92RW008,Walker2011,6500.7
polyclonal Donor 24,92RW008,Walker2009a,4067
polyclonal Donor 36,92RW008,Walker2011,2084.1
polyclonal Donor 39,92RW008,Walker2011,644
polyclonal Donor 84,92RW008,Walker2011,9301.5
polyclonal CAP206,92RW009,Gray2009a,915
polyclonal Donor 17,92RW009,Walker2011,463.6
polyclonal Donor 24,92RW009,Walker2009a,254
polyclonal Donor 36,92RW009,Walker2011,241
polyclonal Donor 39,92RW009,Walker2011,<100
polyclonal Donor 84,92RW009,Walker2011,1247.6
polyclonal Donor 17,92RW020_2,Walker2011,5671.1
polyclonal Donor 24,92RW020_2,Walker2009a,282
polyclonal Donor 36,92RW020_2,Walker2011,2617.1
polyclonal Donor 39,92RW020_2,Walker2011,2730
polyclonal Donor 84,92RW020_2,Walker2011,428.3
polyclonal N152,92RW020_2,Huang2014,1341
polyclonal NIH45,92RW020_2,Wu2010,143
polyclonal PC64-M35,92RW020_2,Landais2017_dataset2,<50
polyclonal Donor 17,92RW024,Walker2011,<100
polyclonal Donor 24,92RW024,Walker2009a,241
polyclonal Donor 36,92RW024,Walker2011,149.7
polyclonal Donor 39,92RW024,Walker2011,178
polyclonal Donor 84,92RW024,Walker2011,507.7
polyclonal Donor 17,92RW026,Walker2011,1561
polyclonal Donor 24,92RW026,Walker2009a,361
polyclonal Donor 36,92RW026,Walker2011,2183.4
polyclonal Donor 39,92RW026,Walker2011,1046
polyclonal Donor 84,92RW026,Walker2011,717.3
polyclonal Donor 17,92TH021,Walker2011,<100
polyclonal Donor 24,92TH021,Walker2009a,192
polyclonal Donor 36,92TH021,Walker2011,3301.2
polyclonal Donor 39,92TH021,Walker2011,212
polyclonal Donor 84,92TH021,Walker2011,5298.1
polyclonal PC64-M35,92TH021,Landais2017_dataset2,1608
polyclonal Donor 17,92UG001,Walker2011,<100
polyclonal Donor 24,92UG001,Walker2009a,<100
polyclonal Donor 36,92UG001,Walker2011,<100
polyclonal Donor 39,92UG001,Walker2011,260
polyclonal Donor 84,92UG001,Walker2011,<100
polyclonal Donor 17,92UG005,Walker2011,265.5
polyclonal Donor 24,92UG005,Walker2009a,<100
polyclonal Donor 36,92UG005,Walker2011,590.3
polyclonal Donor 39,92UG005,Walker2011,480
polyclonal Donor 84,92UG005,Walker2011,<100
polyclonal Donor 17,92UG031,Walker2011,<100
polyclonal Donor 24,92UG031,Walker2009a,259
polyclonal Donor 36,92UG031,Walker2011,422.2
polyclonal Donor 39,92UG031,Walker2011,459
polyclonal Donor 84,92UG031,Walker2011,282.5
polyclonal Donor 17,92UG046,Walker2011,<100
polyclonal Donor 24,92UG046,Walker2009a,114
polyclonal Donor 36,92UG046,Walker2011,<100
polyclonal Donor 39,92UG046,Walker2011,137
polyclonal Donor 84,92UG046,Walker2011,200.5
polyclonal Donor 17,93IN905,Walker2011,4396.9
polyclonal Donor 24,93IN905,Walker2009a,647
polyclonal Donor 36,93IN905,Walker2011,1313.8
polyclonal Donor 39,93IN905,Walker2011,3667
polyclonal Donor 84,93IN905,Walker2011,14817
polyclonal PC64-M35,93IN905,Landais2017_dataset2,113
polyclonal Donor 17,93MW959,Walker2011,1602.2
polyclonal Donor 24,93MW959,Walker2009a,976
polyclonal Donor 36,93MW959,Walker2011,176.1
polyclonal Donor 39,93MW959,Walker2011,506
polyclonal Donor 84,93MW959,Walker2011,6171.8
polyclonal Donor 17,93RW029,Walker2011,<100
polyclonal Donor 24,93RW029,Walker2009a,256
polyclonal Donor 36,93RW029,Walker2011,<100
polyclonal Donor 39,93RW029,Walker2011,270
polyclonal Donor 84,93RW029,Walker2011,589.2
polyclonal Donor 17,93TH305,Walker2011,3675.2
polyclonal Donor 24,93TH305,Walker2009a,133
polyclonal Donor 36,93TH305,Walker2011,1520.7
polyclonal Donor 39,93TH305,Walker2011,306
polyclonal Donor 84,93TH305,Walker2011,828
polyclonal Donor 17,93UG077,Walker2011,1082.8
polyclonal Donor 24,93UG077,Walker2009a,206
polyclonal Donor 36,93UG077,Walker2011,707.2
polyclonal Donor 39,93UG077,Walker2011,436
polyclonal Donor 84,93UG077,Walker2011,326.4
polyclonal Donor 17,94KE105,Walker2011,955
polyclonal Donor 24,94KE105,Walker2009a,<100
polyclonal Donor 36,94KE105,Walker2011,4540.1
polyclonal Donor 39,94KE105,Walker2011,1633
polyclonal Donor 84,94KE105,Walker2011,1035.2
polyclonal Donor 17,94UG103,Walker2011,193.4
polyclonal Donor 24,94UG103,Walker2009a,350
polyclonal Donor 36,94UG103,Walker2011,1138.4
polyclonal Donor 39,94UG103,Walker2011,568
polyclonal Donor 84,94UG103,Walker2011,208.3
polyclonal PC64-M35,94UG103,Landais2017_dataset2,1537
polyclonal Donor 17,94UG114,Walker2011,5390.2
polyclonal Donor 24,94UG114,Walker2009a,<100
polyclonal Donor 36,94UG114,Walker2011,292.1
polyclonal Donor 39,94UG114,Walker2011,548
polyclonal Donor 84,94UG114,Walker2011,<100
polyclonal N152,96ZM651_02,Huang2014,7423
polyclonal Donor 17,98CN006,Walker2011,1908.7
polyclonal Donor 24,98CN006,Walker2009a,397
polyclonal Donor 36,98CN006,Walker2011,367
polyclonal Donor 39,98CN006,Walker2011,980
polyclonal Donor 84,98CN006,Walker2011,365.2
polyclonal Donor 17,98CN009,Walker2011,2551
polyclonal Donor 24,98CN009,Walker2009a,289
polyclonal Donor 36,98CN009,Walker2011,756.3
polyclonal Donor 39,98CN009,Walker2011,1430
polyclonal Donor 84,98CN009,Walker2011,1469.5
polyclonal Donor 17,98IN022,Walker2011,3711.8
polyclonal Donor 24,98IN022,Walker2009a,2708
polyclonal Donor 36,98IN022,Walker2011,729.6
polyclonal Donor 39,98IN022,Walker2011,1918
polyclonal Donor 84,98IN022,Walker2011,15197.1
polyclonal N152,A03349M1_VRC4A,Huang2014,15192
polyclonal Donor 31,A07412M1_VRC12,Falkowska2014,135
polyclonal PC64-M35,A07412M1_VRC12,Landais2017_dataset1,<50
polyclonal CAP206,AC10_29,Gray2009a,111
polyclonal CAP256 Year1,AC10_29,Doria-Rose2014,<45
polyclonal CAP256 Year2,AC10_29,Doria-Rose2014,64
polyclonal CAP256 Year3,AC10_29,Doria-Rose2014,48
polyclonal CAP256 Year4,AC10_29,Doria-Rose2014,66
polyclonal CH0457 wk8,AC10_29,Moody2015,<20
polyclonal CH0457 wk96,AC10_29,Moody2015,91
polyclonal N152,AC10_29,Huang2014,13018
polyclonal NIH45,AC10_29,Wu2010,207
polyclonal PC64-M35,AC10_29,Landais2017_dataset1,120
polyclonal N152,ADA,Huang2014,15877
polyclonal PC64-M35,ADA,Landais2017_dataset2,116
polyclonal Donor 17,APV_13,Walker2011,177.8
polyclonal Donor 24,APV_13,Walker2009a,<100
polyclonal Donor 36,APV_13,Walker2011,1460.1
polyclonal Donor 39,APV_13,Walker2011,173
polyclonal Donor 84,APV_13,Walker2011,211.6
polyclonal Donor 17,APV_17,Walker2011,470
polyclonal Donor 24,APV_17,Walker2009a,<100
polyclonal Donor 36,APV_17,Walker2011,279.4
polyclonal Donor 39,APV_17,Walker2011,482
polyclonal Donor 84,APV_17,Walker2011,161.5
polyclonal Donor 17,APV_6,Walker2011,914.6
polyclonal Donor 24,APV_6,Walker2009a,394
polyclonal Donor 36,APV_6,Walker2011,512.9
polyclonal Donor 39,APV_6,Walker2011,706
polyclonal Donor 84,APV_6,Walker2011,253.2
Polyclonal AIIMS_329 102-months,BAL_01,Mishra2019_dataset1,816
Polyclonal AIIMS_329 112-months,BAL_01,Mishra2019_dataset1,742
Polyclonal AIIMS_329 117-months,BAL_01,Mishra2019_dataset1,1042
Polyclonal AIIMS_329 124-months,BAL_01,Mishra2019_dataset1,2168
Polyclonal AIIMS_329 131-months,BAL_01,Mishra2019_dataset1,657
Polyclonal AIIMS_329 138-months,BAL_01,Mishra2019_dataset1,1954
Polyclonal AIIMS_329 78-months,BAL_01,Mishra2019_dataset1,956
Polyclonal AIIMS_329 82-months,BAL_01,Mishra2019_dataset1,974
Polyclonal AIIMS_329 90-months,BAL_01,Mishra2019_dataset1,1081
Polyclonal AIIMS_330 102-months,BAL_01,Mishra2019_dataset1,2748
Polyclonal AIIMS_330 112-months,BAL_01,Mishra2019_dataset1,3263
Polyclonal AIIMS_330 117-months,BAL_01,Mishra2019_dataset1,6496
Polyclonal AIIMS_330 124-months,BAL_01,Mishra2019_dataset1,6947
Polyclonal AIIMS_330 131-months,BAL_01,Mishra2019_dataset1,7128
Polyclonal AIIMS_330 138-months,BAL_01,Mishra2019_dataset1,4217
Polyclonal AIIMS_330 78-months,BAL_01,Mishra2019_dataset1,1052
Polyclonal AIIMS_330 82-months,BAL_01,Mishra2019_dataset1,1496
Polyclonal AIIMS_330 90-months,BAL_01,Mishra2019_dataset1,2146
polyclonal N152,BAL_01,Huang2014,1590
polyclonal PC64-M35,BAL_01,Landais2017_dataset2,287
polyclonal PC64-M35,BAL_01,Landais2017_dataset1,162
polyclonal CH0457 wk8,BAL_26,Moody2015,358
polyclonal CH0457 wk96,BAL_26,Moody2015,375
polyclonal N152,BAL_26,Huang2014,5407
polyclonal N152,BB201_B42,Huang2014,470
polyclonal N152,BB539_2B13,Huang2014,1947
polyclonal CH0457 wk8,BF1266_431A,Moody2015,346
polyclonal CH0457 wk96,BF1266_431A,Moody2015,383
polyclonal Donor 31,BF1266_431A,Falkowska2014,613
polyclonal PC64-M35,BF1266_431A,Landais2017_dataset1,<50
polyclonal BF520,BF535_A1,Simonich2016,128
polyclonal QA013,BF535_A1,Williams2018,403
polyclonal N152,BG1168_1,Huang2014,167
polyclonal NIH45,BG1168_1,Wu2010,539
polyclonal PC64-M35,BG505_DELTA_CT_T332N,Landais2017_dataset2,1185
Polyclonal AIIMS_329 102-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,213
Polyclonal AIIMS_329 112-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,249
Polyclonal AIIMS_329 117-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,142
Polyclonal AIIMS_329 124-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,89
Polyclonal AIIMS_329 131-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,224
Polyclonal AIIMS_329 78-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,246
Polyclonal AIIMS_329 82-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,312
Polyclonal AIIMS_329 90-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,356
Polyclonal AIIMS_330 102-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,412
Polyclonal AIIMS_330 112-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,463
Polyclonal AIIMS_330 117-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,1264
Polyclonal AIIMS_330 124-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,2578
Polyclonal AIIMS_330 131-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,1562
Polyclonal AIIMS_330 138-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,792
Polyclonal AIIMS_330 78-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,261
Polyclonal AIIMS_330 82-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,302
Polyclonal AIIMS_330 90-months,BG505_W6M_A5_T332N,Mishra2019_dataset1,346
polyclonal QA013,BG505_W6M_C2,Williams2018,170
polyclonal QA013,BG505_W6M_C2_T332N,Williams2018,278
polyclonal N152,BI369_9A,Huang2014,6422
Polyclonal AIIMS_329 102-months,BJ613_E1,Mishra2019_dataset1,79
Polyclonal AIIMS_329 112-months,BJ613_E1,Mishra2019_dataset1,97
Polyclonal AIIMS_329 117-months,BJ613_E1,Mishra2019_dataset1,108
Polyclonal AIIMS_329 124-months,BJ613_E1,Mishra2019_dataset1,101
Polyclonal AIIMS_329 131-months,BJ613_E1,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,BJ613_E1,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 78-months,BJ613_E1,Mishra2019_dataset1,70
Polyclonal AIIMS_329 82-months,BJ613_E1,Mishra2019_dataset1,79
Polyclonal AIIMS_329 90-months,BJ613_E1,Mishra2019_dataset1,78
Polyclonal AIIMS_330 102-months,BJ613_E1,Mishra2019_dataset1,799
Polyclonal AIIMS_330 112-months,BJ613_E1,Mishra2019_dataset1,1834
Polyclonal AIIMS_330 117-months,BJ613_E1,Mishra2019_dataset1,2195
Polyclonal AIIMS_330 124-months,BJ613_E1,Mishra2019_dataset1,1594
Polyclonal AIIMS_330 131-months,BJ613_E1,Mishra2019_dataset1,958
Polyclonal AIIMS_330 138-months,BJ613_E1,Mishra2019_dataset1,874
Polyclonal AIIMS_330 78-months,BJ613_E1,Mishra2019_dataset1,751
Polyclonal AIIMS_330 82-months,BJ613_E1,Mishra2019_dataset1,774
Polyclonal AIIMS_330 90-months,BJ613_E1,Mishra2019_dataset1,788
polyclonal BF520,BJ613_E1,Simonich2016,188
polyclonal QA013,BJ613_E1,Williams2018,265
Polyclonal AIIMS_329 102-months,BJOX002000_03_2,Mishra2019_dataset1,164
Polyclonal AIIMS_329 112-months,BJOX002000_03_2,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 117-months,BJOX002000_03_2,Mishra2019_dataset1,146
Polyclonal AIIMS_329 124-months,BJOX002000_03_2,Mishra2019_dataset1,324
Polyclonal AIIMS_329 131-months,BJOX002000_03_2,Mishra2019_dataset1,212
Polyclonal AIIMS_329 138-months,BJOX002000_03_2,Mishra2019_dataset1,346
Polyclonal AIIMS_329 78-months,BJOX002000_03_2,Mishra2019_dataset1,210
Polyclonal AIIMS_329 82-months,BJOX002000_03_2,Mishra2019_dataset1,294
Polyclonal AIIMS_329 90-months,BJOX002000_03_2,Mishra2019_dataset1,603
Polyclonal AIIMS_330 102-months,BJOX002000_03_2,Mishra2019_dataset1,489
Polyclonal AIIMS_330 112-months,BJOX002000_03_2,Mishra2019_dataset1,661
Polyclonal AIIMS_330 117-months,BJOX002000_03_2,Mishra2019_dataset1,1149
Polyclonal AIIMS_330 124-months,BJOX002000_03_2,Mishra2019_dataset1,1660
Polyclonal AIIMS_330 131-months,BJOX002000_03_2,Mishra2019_dataset1,631
Polyclonal AIIMS_330 138-months,BJOX002000_03_2,Mishra2019_dataset1,708
Polyclonal AIIMS_330 78-months,BJOX002000_03_2,Mishra2019_dataset1,376
Polyclonal AIIMS_330 82-months,BJOX002000_03_2,Mishra2019_dataset1,389
Polyclonal AIIMS_330 90-months,BJOX002000_03_2,Mishra2019_dataset1,249
polyclonal BF520,BJOX002000_03_2,Simonich2016,159
polyclonal QA013,BJOX002000_03_2,Williams2018,247
polyclonal Donor 31,BJOX009000_02_4,Falkowska2014,302
polyclonal PC64-M35,BJOX009000_02_4,Landais2017_dataset1,<50
polyclonal PC64-M35,BJOX010000_06_2,Landais2017_dataset1,62
polyclonal PC64-M35,BJOX015000_11_5,Landais2017_dataset1,<50
polyclonal PC64-M35,BJOX025000_01_1,Landais2017_dataset1,<50
polyclonal PC64-M35,BJOX028000_10_3,Landais2017_dataset1,65
polyclonal N152,BL01,Huang2014,1044
polyclonal NIH45,BL01,Wu2010,147
polyclonal N152,BR07,Huang2014,4626
polyclonal NIH45,BR07,Wu2010,97
polyclonal N152,BS208_B1,Huang2014,9293
polyclonal NIH45,BS208_B1,Wu2010,5
polyclonal CH0457 wk8,BX08_16,Moody2015,302
polyclonal CH0457 wk96,BX08_16,Moody2015,342
polyclonal N152,BX08_16,Huang2014,74924
polyclonal N152,C1080_C3,Huang2014,8632
polyclonal NIH45,C1080_C3,Wu2010,855
polyclonal PC64-M35,C1080_C3,Landais2017_dataset1,3803
polyclonal N152,C2101_C1,Huang2014,12603
polyclonal N152,C3347_C11,Huang2014,32066
polyclonal PC64-M35,C3347_C11,Landais2017_dataset1,375
polyclonal N152,C4118_9,Huang2014,25357
polyclonal PC64-M35,C4118_9,Landais2017_dataset1,3185
Polyclonal AIIMS_329 102-months,CAAN5342,Mishra2019_dataset1,389
Polyclonal AIIMS_329 112-months,CAAN5342,Mishra2019_dataset1,212
Polyclonal AIIMS_329 117-months,CAAN5342,Mishra2019_dataset1,168
Polyclonal AIIMS_329 124-months,CAAN5342,Mishra2019_dataset1,157
Polyclonal AIIMS_329 131-months,CAAN5342,Mishra2019_dataset1,55
Polyclonal AIIMS_329 138-months,CAAN5342,Mishra2019_dataset1,107
Polyclonal AIIMS_329 78-months,CAAN5342,Mishra2019_dataset1,310
Polyclonal AIIMS_329 82-months,CAAN5342,Mishra2019_dataset1,354
Polyclonal AIIMS_329 90-months,CAAN5342,Mishra2019_dataset1,367
Polyclonal AIIMS_330 102-months,CAAN5342,Mishra2019_dataset1,873
Polyclonal AIIMS_330 112-months,CAAN5342,Mishra2019_dataset1,238
Polyclonal AIIMS_330 117-months,CAAN5342,Mishra2019_dataset1,327
Polyclonal AIIMS_330 124-months,CAAN5342,Mishra2019_dataset1,457
Polyclonal AIIMS_330 131-months,CAAN5342,Mishra2019_dataset1,521
Polyclonal AIIMS_330 138-months,CAAN5342,Mishra2019_dataset1,1115
Polyclonal AIIMS_330 78-months,CAAN5342,Mishra2019_dataset1,751
Polyclonal AIIMS_330 82-months,CAAN5342,Mishra2019_dataset1,779
Polyclonal AIIMS_330 90-months,CAAN5342,Mishra2019_dataset1,798
polyclonal BF520,CAAN5342,Simonich2016,124
polyclonal CAP206,CAAN5342,Gray2009a,<40
polyclonal CAP256 Year1,CAAN5342,Doria-Rose2014,<45
polyclonal CAP256 Year2,CAAN5342,Doria-Rose2014,<45
polyclonal CAP256 Year3,CAAN5342,Doria-Rose2014,<45
polyclonal CAP256 Year4,CAAN5342,Doria-Rose2014,<45
polyclonal Donor 17,CAAN5342,Walker2011,1743.1
polyclonal Donor 24,CAAN5342,Walker2009a,<100
polyclonal Donor 36,CAAN5342,Walker2011,148.8
polyclonal Donor 39,CAAN5342,Walker2011,222
polyclonal Donor 84,CAAN5342,Walker2011,173.1
polyclonal N152,CAAN5342,Huang2014,1364
polyclonal NIH45,CAAN5342,Wu2010,388
polyclonal PC64-M35,CAAN5342,Landais2017_dataset1,<50
polyclonal PC64-M35,CAAN5342,Landais2017_dataset2,<50
polyclonal CAP206,CAP206_1_B5,Morris2011,6143
Polyclonal AIIMS_329 102-months,CAP210_E8,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 112-months,CAP210_E8,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 117-months,CAP210_E8,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,CAP210_E8,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,CAP210_E8,Mishra2019_dataset1,68
Polyclonal AIIMS_329 138-months,CAP210_E8,Mishra2019_dataset1,59
Polyclonal AIIMS_329 78-months,CAP210_E8,Mishra2019_dataset1,85
Polyclonal AIIMS_329 82-months,CAP210_E8,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 90-months,CAP210_E8,Mishra2019_dataset1,85
Polyclonal AIIMS_330 102-months,CAP210_E8,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 112-months,CAP210_E8,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 117-months,CAP210_E8,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 124-months,CAP210_E8,Mishra2019_dataset1,124
Polyclonal AIIMS_330 131-months,CAP210_E8,Mishra2019_dataset1,69
Polyclonal AIIMS_330 138-months,CAP210_E8,Mishra2019_dataset1,152
Polyclonal AIIMS_330 78-months,CAP210_E8,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 82-months,CAP210_E8,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 90-months,CAP210_E8,Mishra2019_dataset1,<50
polyclonal BF520,CAP210_E8,Simonich2016,186
polyclonal CAP206,CAP210_E8,Gray2009a,<40
polyclonal CAP256 Year1,CAP210_E8,Doria-Rose2014,7091
polyclonal CAP256 Year2,CAP210_E8,Doria-Rose2014,7830
polyclonal CAP256 Year3,CAP210_E8,Doria-Rose2014,13580
polyclonal CAP256 Year4,CAP210_E8,Doria-Rose2014,5250
polyclonal N152,CAP210_E8,Huang2014,33972
polyclonal NIH45,CAP210_E8,Wu2010,423
polyclonal PC64-M35,CAP210_E8,Landais2017_dataset2,304
polyclonal PC64-M35,CAP210_E8,Landais2017_dataset1,172
polyclonal QA013,CAP210_E8,Williams2018,383
polyclonal CAP206,CAP244_D3,Gray2009a,75
polyclonal CAP256 Year1,CAP244_D3,Doria-Rose2014,<45
polyclonal CAP256 Year2,CAP244_D3,Doria-Rose2014,<45
polyclonal CAP256 Year3,CAP244_D3,Doria-Rose2014,58
polyclonal CAP256 Year4,CAP244_D3,Doria-Rose2014,62
polyclonal N152,CAP244_D3,Huang2014,2859
polyclonal NIH45,CAP244_D3,Wu2010,238
polyclonal CAP206,CAP256_PI,Gray2009a,<40
Polyclonal AIIMS_329 102-months,CAP256_SU,Mishra2019_dataset1,256
Polyclonal AIIMS_329 112-months,CAP256_SU,Mishra2019_dataset1,367
Polyclonal AIIMS_329 117-months,CAP256_SU,Mishra2019_dataset1,357
Polyclonal AIIMS_329 124-months,CAP256_SU,Mishra2019_dataset1,214
Polyclonal AIIMS_329 131-months,CAP256_SU,Mishra2019_dataset1,147
Polyclonal AIIMS_329 138-months,CAP256_SU,Mishra2019_dataset1,324
Polyclonal AIIMS_329 78-months,CAP256_SU,Mishra2019_dataset1,198
Polyclonal AIIMS_329 82-months,CAP256_SU,Mishra2019_dataset1,218
Polyclonal AIIMS_329 90-months,CAP256_SU,Mishra2019_dataset1,234
Polyclonal AIIMS_330 102-months,CAP256_SU,Mishra2019_dataset1,298
Polyclonal AIIMS_330 112-months,CAP256_SU,Mishra2019_dataset1,879
Polyclonal AIIMS_330 117-months,CAP256_SU,Mishra2019_dataset1,1128
Polyclonal AIIMS_330 124-months,CAP256_SU,Mishra2019_dataset1,1459
Polyclonal AIIMS_330 131-months,CAP256_SU,Mishra2019_dataset1,948
Polyclonal AIIMS_330 138-months,CAP256_SU,Mishra2019_dataset1,959
Polyclonal AIIMS_330 78-months,CAP256_SU,Mishra2019_dataset1,241
Polyclonal AIIMS_330 82-months,CAP256_SU,Mishra2019_dataset1,265
Polyclonal AIIMS_330 90-months,CAP256_SU,Mishra2019_dataset1,271
Polyclonal AIIMS_329 102-months,CAP45_G3,Mishra2019_dataset1,187
Polyclonal AIIMS_329 112-months,CAP45_G3,Mishra2019_dataset1,126
Polyclonal AIIMS_329 117-months,CAP45_G3,Mishra2019_dataset1,326
Polyclonal AIIMS_329 124-months,CAP45_G3,Mishra2019_dataset1,468
Polyclonal AIIMS_329 131-months,CAP45_G3,Mishra2019_dataset1,167
Polyclonal AIIMS_329 138-months,CAP45_G3,Mishra2019_dataset1,632
Polyclonal AIIMS_329 78-months,CAP45_G3,Mishra2019_dataset1,165
Polyclonal AIIMS_329 82-months,CAP45_G3,Mishra2019_dataset1,177
Polyclonal AIIMS_329 90-months,CAP45_G3,Mishra2019_dataset1,189
Polyclonal AIIMS_330 102-months,CAP45_G3,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 112-months,CAP45_G3,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 117-months,CAP45_G3,Mishra2019_dataset1,257
Polyclonal AIIMS_330 124-months,CAP45_G3,Mishra2019_dataset1,113
Polyclonal AIIMS_330 131-months,CAP45_G3,Mishra2019_dataset1,1984
Polyclonal AIIMS_330 138-months,CAP45_G3,Mishra2019_dataset1,823
Polyclonal AIIMS_330 78-months,CAP45_G3,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 82-months,CAP45_G3,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 90-months,CAP45_G3,Mishra2019_dataset1,<50
polyclonal CAP206,CAP45_G3,Gray2009a,4720
polyclonal CAP256 Year1,CAP45_G3,Doria-Rose2014,287
polyclonal CAP256 Year2,CAP45_G3,Doria-Rose2014,7898
polyclonal CAP256 Year3,CAP45_G3,Doria-Rose2014,13402
polyclonal CAP256 Year4,CAP45_G3,Doria-Rose2014,1006
polyclonal CH0457 wk8,CAP45_G3,Moody2015,1252
polyclonal CH0457 wk96,CAP45_G3,Moody2015,2430
polyclonal Donor 31,CAP45_G3,Falkowska2014,804
polyclonal N152,CAP45_G3,Huang2014,1909
polyclonal NIH45,CAP45_G3,Wu2010,134
polyclonal PC64-M35,CAP45_G3,Landais2017_dataset2,10171
polyclonal PC64-M35,CAP45_G3,Landais2017_dataset1,5753
polyclonal CH0457 wk8,CE0393_C3,Moody2015,1335
polyclonal CH0457 wk8,CE0682_E4,Moody2015,3291
polyclonal CH0457 wk96,CE0682_E4,Moody2015,3115
polyclonal CH0457 wk8,CE1086_B2,Moody2015,733
polyclonal CH0457 wk96,CE1086_B2,Moody2015,1351
polyclonal PC64-M35,CE1172_H1,Landais2017_dataset1,<50
Polyclonal AIIMS_329 102-months,CE1176_A3,Mishra2019_dataset1,549
Polyclonal AIIMS_329 112-months,CE1176_A3,Mishra2019_dataset1,143
Polyclonal AIIMS_329 117-months,CE1176_A3,Mishra2019_dataset1,123
Polyclonal AIIMS_329 124-months,CE1176_A3,Mishra2019_dataset1,157
Polyclonal AIIMS_329 131-months,CE1176_A3,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,CE1176_A3,Mishra2019_dataset1,93
Polyclonal AIIMS_329 78-months,CE1176_A3,Mishra2019_dataset1,847
Polyclonal AIIMS_329 82-months,CE1176_A3,Mishra2019_dataset1,745
Polyclonal AIIMS_329 90-months,CE1176_A3,Mishra2019_dataset1,933
Polyclonal AIIMS_330 102-months,CE1176_A3,Mishra2019_dataset1,349
Polyclonal AIIMS_330 112-months,CE1176_A3,Mishra2019_dataset1,479
Polyclonal AIIMS_330 117-months,CE1176_A3,Mishra2019_dataset1,542
Polyclonal AIIMS_330 124-months,CE1176_A3,Mishra2019_dataset1,724
Polyclonal AIIMS_330 131-months,CE1176_A3,Mishra2019_dataset1,408
Polyclonal AIIMS_330 138-months,CE1176_A3,Mishra2019_dataset1,708
Polyclonal AIIMS_330 78-months,CE1176_A3,Mishra2019_dataset1,146
Polyclonal AIIMS_330 82-months,CE1176_A3,Mishra2019_dataset1,326
Polyclonal AIIMS_330 90-months,CE1176_A3,Mishra2019_dataset1,215
polyclonal BF520,CE1176_A3,Simonich2016,118
polyclonal CH0457 wk8,CE1176_A3,Moody2015,905
polyclonal QA013,CE1176_A3,Williams2018,125
polyclonal CH0457 wk8,CE2010_F5,Moody2015,330
polyclonal CH0457 wk8,CE2060_G9,Moody2015,43
polyclonal CH0457 wk96,CE2060_G9,Moody2015,104
polyclonal PC64-M35,CE2060_G9,Landais2017_dataset1,71
polyclonal N152,CH038_12,Huang2014,4565
polyclonal NIH45,CH038_12,Wu2010,436
polyclonal NIH45,CH064_20,Wu2010,289
polyclonal N152,CH070_1,Huang2014,3504
polyclonal NIH45,CH070_1,Wu2010,>1000
polyclonal NIH45,CH110_2,Wu2010,82
polyclonal NIH45,CH111_8,Wu2010,595
polyclonal NIH45,CH115_12,Wu2010,746
polyclonal N152,CH117_4,Huang2014,8831
polyclonal NIH45,CH117_4,Wu2010,42
